# Planck-mean dust opacity in cm^2/g computed for the Semenov 2003 porous 5-layered sphere model as a function of radiation temperature (rows) and dust temperature (columns) COLUMNS:
#  (0) T_rad
#  (1) T_dust=0-160K
#  (2) T_dust=160-275K
#  (3) T_dust=275-425K
#  (4) T_dust=425-680K
#  (5) T_dust=680-1500K
#  (6) T_dust=T_rad
#  
1.000000000000000000e+00 1.231642835717079373e-02 8.740350509006579102e-03 8.076874659762802930e-03 3.413131651474515197e-03 1.799557422626947567e-04 1.231642835717079373e-02
1.000921550516792990e+00 1.233669014662136347e-02 8.755043938474761991e-03 8.090568700307200489e-03 3.419328583133572370e-03 1.802091691381690962e-04 1.233669014662136347e-02
1.001843950288941132e+00 1.235697470494890801e-02 8.769754690499590929e-03 8.104279211756928655e-03 3.425534263365828756e-03 1.804629922589746059e-04 1.235697470494890801e-02
1.002767200099075939e+00 1.237728202513058672e-02 8.784482762051053911e-03 8.118006192256738834e-03 3.431748695642760066e-03 1.807172121842120116e-04 1.237728202513058672e-02
1.003691300730550351e+00 1.239761210006549638e-02 8.799228150041124574e-03 8.131749639897484574e-03 3.437971883414739100e-03 1.809718294736215559e-04 1.239761210006549638e-02
1.004616252967439172e+00 1.241796492257469554e-02 8.813990851323763934e-03 8.145509552716135443e-03 3.444203830111016232e-03 1.812268446875835669e-04 1.241796492257469554e-02
1.005542057594539962e+00 1.243834048540124436e-02 8.828770862694909974e-03 8.159285928695761414e-03 3.450444539139676473e-03 1.814822583871185673e-04 1.243834048540124436e-02
1.006468715397373481e+00 1.245873878121021849e-02 8.843568180892494995e-03 8.173078765765529399e-03 3.456694013887623863e-03 1.817380711338880057e-04 1.245873878121021849e-02
1.007396227162183910e+00 1.247915980258874208e-02 8.858382802596416125e-03 8.186888061800687635e-03 3.462952257720541566e-03 1.819942834901940401e-04 1.247915980258874208e-02
1.008324593675940628e+00 1.249960354204605016e-02 8.873214724428585623e-03 8.200713814622576092e-03 3.469219273982875398e-03 1.822508960189802153e-04 1.249960354204605016e-02
1.009253815726337766e+00 1.252006999201345575e-02 8.888063942952877106e-03 8.214556021998598717e-03 3.475495065997786983e-03 1.825079092838315445e-04 1.252006999201345575e-02
1.010183894101795765e+00 1.254055914484446602e-02 8.902930454675179323e-03 8.228414681642249456e-03 3.481779637067150719e-03 1.827653238489751594e-04 1.254055914484446602e-02
1.011114829591461151e+00 1.256107099281475285e-02 8.917814256043366666e-03 8.242289791213077560e-03 3.488072990471502606e-03 1.830231402792803377e-04 1.256107099281475285e-02
1.012046622985208311e+00 1.258160552812223436e-02 8.932715343447326928e-03 8.256181348316711868e-03 3.494375129470029834e-03 1.832813591402589367e-04 1.258160552812223436e-02
1.012979275073639052e+00 1.260216274288706098e-02 8.947633713218942214e-03 8.270089350504834791e-03 3.500686057300530455e-03 1.835399809980655284e-04 1.260216274288706098e-02
1.013912786648083708e+00 1.262274262915169185e-02 8.962569361632104561e-03 8.284013795275177103e-03 3.507005777179389525e-03 1.837990064194978609e-04 1.262274262915169185e-02
1.014847158500602253e+00 1.264334517888092771e-02 8.977522284902733282e-03 8.297954680071556108e-03 3.513334292301557860e-03 1.840584359719972106e-04 1.264334517888092771e-02
1.015782391423984521e+00 1.266397038396194913e-02 8.992492479188781904e-03 8.311912002283835740e-03 3.519671605840522539e-03 1.843182702236487885e-04 1.266397038396194913e-02
1.016718486211750649e+00 1.268461823620433207e-02 9.007479940590210413e-03 8.325885759247924831e-03 3.526017720948270481e-03 1.845785097431816590e-04 1.268461823620433207e-02
1.017655443658151970e+00 1.270528872734011556e-02 9.022484665149033828e-03 8.339875948245796186e-03 3.532372640755274563e-03 1.848391550999692280e-04 1.270528872734011556e-02
1.018593264558172340e+00 1.272598184902384334e-02 9.037506648849325669e-03 8.353882566505491797e-03 3.538736368370461963e-03 1.851002068640297848e-04 1.272598184902384334e-02
1.019531949707527918e+00 1.274669759283259159e-02 9.052545887617200610e-03 8.367905611201096813e-03 3.545108906881186839e-03 1.853616656060264479e-04 1.274669759283259159e-02
1.020471499902667833e+00 1.276743595026600710e-02 9.067602377320845702e-03 8.381945079452756894e-03 3.551490259353203005e-03 1.856235318972675988e-04 1.276743595026600710e-02
1.021411915940775739e+00 1.278819691274638015e-02 9.082676113770534257e-03 8.396000968326688615e-03 3.557880428830646150e-03 1.858858063097074782e-04 1.278819691274638015e-02
1.022353198619769588e+00 1.280898047161866359e-02 9.097767092718624105e-03 8.410073274835169060e-03 3.564279418335995243e-03 1.861484894159458065e-04 1.280898047161866359e-02
1.023295348738302746e+00 1.282978661815052483e-02 9.112875309859564538e-03 8.424161995936535821e-03 3.570687230870059087e-03 1.864115817892286785e-04 1.282978661815052483e-02
1.024238367095764435e+00 1.285061534353239103e-02 9.128000760829934473e-03 8.438267128535204345e-03 3.577103869411941191e-03 1.866750840034487528e-04 1.285061534353239103e-02
1.025182254492280620e+00 1.287146663887749932e-02 9.143143441208418168e-03 8.452388669481662731e-03 3.583529336919022857e-03 1.869389966331451436e-04 1.287146663887749932e-02
1.026127011728715122e+00 1.289234049522195065e-02 9.158303346515860727e-03 8.466526615572476933e-03 3.589963636326932387e-03 1.872033202535042880e-04 1.289234049522195065e-02
1.027072639606668947e+00 1.291323690352474615e-02 9.173480472215242085e-03 8.480680963550302903e-03 3.596406770549522968e-03 1.874680554403597833e-04 1.291323690352474615e-02
1.028019138928482512e+00 1.293415585466784444e-02 9.188674813711716904e-03 8.494851710103883125e-03 3.602858742478846649e-03 1.877332027701929295e-04 1.293415585466784444e-02
