# Rosseland-mean dust opacity in cm^2/g computed for the Semenov 2003 porous 5-layered sphere model as a function of radiation temperature (rows) and dust temperature (columns) COLUMNS:
#  (0) T_rad
#  (1) T_dust=0-160K
#  (2) T_dust=160-275K
#  (3) T_dust=275-425K
#  (4) T_dust=425-680K
#  (5) T_dust=680-1500K
#  (6) T_dust=T_rad
#  
1.000000000000000000e+00 1.737033867377188760e-03 1.194742741585412375e-03 1.091197531120066243e-03 4.269505685130870810e-04 6.039017547461397490e-05 1.737033867377188760e-03
1.000921550516792990e+00 1.739432833313074534e-03 1.196400711343504090e-03 1.092714690861799898e-03 4.275493100466256843e-04 6.044883571133986025e-05 1.739432833313074534e-03
1.001843950288941132e+00 1.741837163827119391e-03 1.198062398702578069e-03 1.094235255721617535e-03 4.281494011975777738e-04 6.050759987400351352e-05 1.741837163827119391e-03
1.002767200099075939e+00 1.744246872220360902e-03 1.199727812921864197e-03 1.095759234193948491e-03 4.287508453604507892e-04 6.056646815244191818e-05 1.744246872220360902e-03
1.003691300730550351e+00 1.746661971827529304e-03 1.201396963284239458e-03 1.097286634794976401e-03 4.293536459385859246e-04 6.062544073680754700e-05 1.746661971827529304e-03
1.004616252967439172e+00 1.749082476017131639e-03 1.203069859096284966e-03 1.098817466062693409e-03 4.299578063441804624e-04 6.068451781756868728e-05 1.749082476017131639e-03
1.005542057594539962e+00 1.751508398191526121e-03 1.204746509688344076e-03 1.100351736556953947e-03 4.305633299983097290e-04 6.074369958550990164e-05 1.751508398191526121e-03
1.006468715397373481e+00 1.753939751787006495e-03 1.206426924414579849e-03 1.101889454859523738e-03 4.311702203309499709e-04 6.080298623173235331e-05 1.753939751787006495e-03
1.007396227162183910e+00 1.756376550273878361e-03 1.208111112653029043e-03 1.103430629574135959e-03 4.317784807809993885e-04 6.086237794765423297e-05 1.756376550273878361e-03
1.008324593675940628e+00 1.758818807156544827e-03 1.209799083805664565e-03 1.104975269326545018e-03 4.323881147963022599e-04 6.092187492501117220e-05 1.758818807156544827e-03
1.009253815726337766e+00 1.761266535973581102e-03 1.211490847298447296e-03 1.106523382764575342e-03 4.329991258336706242e-04 6.098147735585650764e-05 1.761266535973581102e-03
1.010183894101795765e+00 1.763719750297819931e-03 1.213186412581390055e-03 1.108074978558181226e-03 4.336115173589064000e-04 6.104118543256189773e-05 1.763719750297819931e-03
1.011114829591461151e+00 1.766178463736429224e-03 1.214885789128610947e-03 1.109630065399494969e-03 4.342252928468244241e-04 6.110099934781743785e-05 1.766178463736429224e-03
1.012046622985208311e+00 1.768642689930994020e-03 1.216588986438392342e-03 1.111188652002883690e-03 4.348404557812759249e-04 6.116091929463235151e-05 1.768642689930994020e-03
1.012979275073639052e+00 1.771112442557598674e-03 1.218296014033238336e-03 1.112750747105000285e-03 4.354570096551690136e-04 6.122094546633507844e-05 1.771112442557598674e-03
1.013912786648083708e+00 1.773587735326906216e-03 1.220006881459934382e-03 1.114316359464840017e-03 4.360749579704937292e-04 6.128107805657392513e-05 1.773587735326906216e-03
1.014847158500602253e+00 1.776068581984239451e-03 1.221721598289604539e-03 1.115885497863792347e-03 4.366943042383431809e-04 6.134131725931725454e-05 1.776068581984239451e-03
1.015782391423984521e+00 1.778554996309668129e-03 1.223440174117769799e-03 1.117458171105696445e-03 4.373150519789375081e-04 6.140166326885406888e-05 1.778554996309668129e-03
1.016718486211750649e+00 1.781046992118079852e-03 1.225162618564405769e-03 1.119034388016893877e-03 4.379372047216457280e-04 6.146211627979418577e-05 1.781046992118079852e-03
1.017655443658151970e+00 1.783544583259270497e-03 1.226888941274002299e-03 1.120614157446282819e-03 4.385607660050095335e-04 6.152267648706884814e-05 1.783544583259270497e-03
1.018593264558172340e+00 1.786047783618026179e-03 1.228619151915623115e-03 1.122197488265375088e-03 4.391857393767657357e-04 6.158334408593096811e-05 1.786047783618026179e-03
1.019531949707527918e+00 1.788556607114198281e-03 1.230353260182961116e-03 1.123784389368346227e-03 4.398121283938691956e-04 6.164411927195553365e-05 1.788556607114198281e-03
1.020471499902667833e+00 1.791071067702793441e-03 1.232091275794400384e-03 1.125374869672094054e-03 4.404399366225167844e-04 6.170500224104009642e-05 1.791071067702793441e-03
1.021411915940775739e+00 1.793591179374051398e-03 1.233833208493074303e-03 1.126968938116289839e-03 4.410691676381692304e-04 6.176599318940508346e-05 1.793591179374051398e-03
1.022353198619769588e+00 1.796116956153528477e-03 1.235579068046923669e-03 1.128566603663435329e-03 4.416998250255750255e-04 6.182709231359419027e-05 1.796116956153528477e-03
1.023295348738302746e+00 1.798648412102181069e-03 1.237328864248758492e-03 1.130167875298918045e-03 4.423319123787940069e-04 6.188829981047482801e-05 1.798648412102181069e-03
1.024238367095764435e+00 1.801185561316447819e-03 1.239082606916312420e-03 1.131772762031063324e-03 4.429654333012198538e-04 6.194961587723846229e-05 1.801185561316447819e-03
1.025182254492280620e+00 1.803728417928330717e-03 1.240840305892307576e-03 1.133381272891191560e-03 4.436003914056030188e-04 6.201104071140103337e-05 1.803728417928330717e-03
1.026127011728715122e+00 1.806276996105483142e-03 1.242601971044510071e-03 1.134993416933673073e-03 4.442367903140758811e-04 6.207257451080334910e-05 1.806276996105483142e-03
1.027072639606668947e+00 1.808831310051286622e-03 1.244367612265792448e-03 1.136609203235983611e-03 4.448746336581744848e-04 6.213421747361146444e-05 1.808831310051286622e-03
1.028019138928482512e+00 1.811391374004940819e-03 1.246137239474191588e-03 1.138228640898758569e-03 4.455139250788629334e-04 6.219596979831716935e-05 1.811391374004940819e-03
